都道府県,18歳未満,国公立短大・高専,私立短大・高専,国公立大学,私立大学
北海道,54598,0,98,1533,2698
青森県,8159,0,225,169,14
岩手県,8697,0,0,272,44
宮城県,38927,0,0,1460,3220
秋田県,5806,0,15,66,101
山形県,9223,34,65,266,128
福島県,7745,0,0,262,116
茨城県,8995,96,178,208,0
栃木県,16263,0,0,82,543
群馬県,9039,65,96,634,357
埼玉県,51593,163,365,625,7580
千葉県,32818,0,715,248,4340
東京都,273396,795,2472,4125,46373
神奈川県,122263,148,2246,5212,17196
新潟県,27568,0,840,566,2010
富山県,15938,0,120,95,0
石川県,20959,0,0,596,1741
福井県,7755,45,0,425,314
山梨県,5884,0,117,191,280
長野県,11180,113,0,272,531
岐阜県,13868,0,49,427,1283
静岡県,25533,84,0,427,1125
愛知県,74887,0,903,1389,9391
三重県,10021,61,0,484,60
滋賀県,11493,0,0,559,1873
京都府,35958,0,324,682,6064
大阪府,100490,808,199,1577,11547
兵庫県,33735,0,78,1885,4269
奈良県,11371,0,0,552,1548
和歌山県,7799,0,0,143,349
鳥取県,6942,55,30,166,9
島根県,7651,273,16,240,0
岡山県,29808,0,0,450,1213
広島県,39360,288,76,186,1676
山口県,5686,87,58,215,11
徳島県,8646,0,0,419,288
香川県,11270,401,88,363,135
愛媛県,17975,288,169,477,774
高知県,12525,0,101,356,423
福岡県,53743,0,93,675,3040
佐賀県,8039,0,166,221,428
長崎県,9687,113,0,651,140
熊本県,23351,1080,141,1716,2060
大分県,17488,0,204,676,180
宮崎県,13222,0,0,368,170
鹿児島県,23437,0,187,866,535
沖縄県,10658,65,0,372,423
